anime_id,title,title_english,title_synonyms,type,source,episodes,status,aired_string,aired,duration,rating,score,scored_by,rank,popularity,members,favorites,premiered,broadcast,related,producer,licensor,studio,genre,duration_min,aired_from_year
1,Cowboy Bebop,Cowboy Bebop,,TV,Original,26,Finished Airing,"Apr 3, 1998 to Apr 24, 1999","{'from': '1998-04-03', 'to': '1999-04-24'}",24 min. per ep.,R - 17+ (violence & profanity),8.81,365465,27,38,707773,39145,Spring 1998,Saturdays at 01:00 (JST),"{'Adaptation': [{'mal_id': 173, 'type': 'manga', 'url': 'https://myanimelist.net/manga/173/Cowboy_Bebop', 'title': 'Cowboy Bebop'}, {'mal_id': 174, 'type': 'manga', 'url': 'https://myanimelist.net/manga/174/Shooting_Star_Bebop__Cowboy_Bebop', 'title': 'Shooting Star Bebop: Cowboy Bebop'}], 'Side story': [{'mal_id': 5, 'type': 'anime', 'url': 'https://myanimelist.net/anime/5/Cowboy_Bebop__Tengoku_no_Tobira', 'title': 'Cowboy Bebop: Tengoku no Tobira'}, {'mal_id': 17205, 'type': 'anime', 'url': 'https://myanimelist.net/anime/17205/Cowboy_Bebop__Ein_no_Natsuyasumi', 'title': 'Cowboy Bebop: Ein no Natsuyasumi'}], 'Summary': [{'mal_id': 4037, 'type': 'anime', 'url': 'https://myanimelist.net/anime/4037/Cowboy_Bebop__Yose_Atsume_Blues', 'title': 'Cowboy Bebop: Yose Atsume Blues'}]}",Bandai Visual,"Funimation, Bandai Entertainment",Sunrise,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",24,1998
5,Cowboy Bebop: Tengoku no Tobira,Cowboy Bebop: The Movie,Cowboy Bebop: Knockin&#039; on Heaven&#039;s Door,Movie,Original,1,Finished Airing,1-Sep-01,"{'from': '2001-09-01', 'to': '2001-09-01'}",1 hr. 54 min.,R - 17+ (violence & profanity),8.41,111344,157,438,180246,706,,,"{'Parent story': [{'mal_id': 1, 'type': 'anime', 'url': 'https://myanimelist.net/anime/1/Cowboy_Bebop', 'title': 'Cowboy Bebop'}]}","Sunrise, Bandai Visual",Sony Pictures Entertainment,Bones,"Action, Space, Drama, Mystery, Sci-Fi",114,2001
6,Trigun,Trigun,,TV,Manga,26,Finished Airing,"Apr 1, 1998 to Sep 30, 1998","{'from': '1998-04-01', 'to': '1998-09-30'}",24 min. per ep.,PG-13 - Teens 13 or older,8.31,197843,234,138,373877,9795,Spring 1998,Thursdays at 01:15 (JST),"{'Adaptation': [{'mal_id': 703, 'type': 'manga', 'url': 'https://myanimelist.net/manga/703/Trigun', 'title': 'Trigun'}], 'Side story': [{'mal_id': 4106, 'type': 'anime', 'url': 'https://myanimelist.net/anime/4106/Trigun__Badlands_Rumble', 'title': 'Trigun: Badlands Rumble'}]}",Victor Entertainment,"Funimation, Geneon Entertainment USA",Madhouse,"Action, Sci-Fi, Adventure, Comedy, Drama, Shounen",24,1998
7,Witch Hunter Robin,Witch Hunter Robin,WHR,TV,Original,26,Finished Airing,"Jul 2, 2002 to Dec 24, 2002","{'from': '2002-07-02', 'to': '2002-12-24'}",25 min. per ep.,PG-13 - Teens 13 or older,7.34,31908,2292,1104,75017,524,Summer 2002,Tuesdays at Unknown,[],Bandai Visual,"Funimation, Bandai Entertainment",Sunrise,"Action, Magic, Police, Supernatural, Drama, Mystery",25,2002
8,Beet the Vandel Buster,Beet the Vandel Buster,"Adventure King Beet, Bouken Ou Beet",TV,Manga,52,Finished Airing,"Sep 30, 2004 to Sep 29, 2005","{'from': '2004-09-30', 'to': '2005-09-29'}",23 min. per ep.,PG - Children,7.04,4760,3400,3495,11276,13,Fall 2004,Unknown,"{'Adaptation': [{'mal_id': 1348, 'type': 'manga', 'url': 'https://myanimelist.net/manga/1348/Boukenou_Beet', 'title': 'Boukenou Beet'}], 'Sequel': [{'mal_id': 1123, 'type': 'anime', 'url': 'https://myanimelist.net/anime/1123/Beet_the_Vandel_Buster_Excellion', 'title': 'Beet the Vandel Buster Excellion'}]}",,,Toei Animation,"Adventure, Fantasy, Shounen, Supernatural",23,2004
15,Eyeshield 21,,Eyeshield21,TV,Manga,145,Finished Airing,"Apr 6, 2005 to Mar 19, 2008","{'from': '2005-04-06', 'to': '2008-03-19'}",23 min. per ep.,PG-13 - Teens 13 or older,8.05,48825,487,812,106718,1650,Spring 2005,Unknown,"{'Adaptation': [{'mal_id': 43, 'type': 'manga', 'url': 'https://myanimelist.net/manga/43/Eyeshield_21', 'title': 'Eyeshield 21'}], 'Side story': [{'mal_id': 1317, 'type': 'anime', 'url': 'https://myanimelist.net/anime/1317/Eyeshield_21__Maboroshi_no_Golden_Bowl', 'title': 'Eyeshield 21: Maboroshi no Golden Bowl'}, {'mal_id': 6418, 'type': 'anime', 'url': 'https://myanimelist.net/anime/6418/Eyeshield_21__Jump_Festa_2005_Special', 'title': 'Eyeshield 21: Jump Festa 2005 Special'}]}","TV Tokyo, Nihon Ad Systems, TV Tokyo Music, Shueisha",Sentai Filmworks,Studio Gallop,"Action, Sports, Comedy, Shounen",23,2005
16,Hachimitsu to Clover,Honey and Clover,"HachiKuro, Honey & Clover",TV,Manga,24,Finished Airing,"Apr 15, 2005 to Sep 27, 2005","{'from': '2005-04-15', 'to': '2005-09-27'}",23 min. per ep.,PG-13 - Teens 13 or older,8.14,54404,382,500,160519,3618,Spring 2005,Fridays at 00:35 (JST),"{'Adaptation': [{'mal_id': 1009, 'type': 'manga', 'url': 'https://myanimelist.net/manga/1009/Hachimitsu_to_Clover', 'title': 'Hachimitsu to Clover'}], 'Side story': [{'mal_id': 644, 'type': 'anime', 'url': 'https://myanimelist.net/anime/644/Hachimitsu_to_Clover_Specials', 'title': 'Hachimitsu to Clover Specials'}], 'Sequel': [{'mal_id': 1142, 'type': 'anime', 'url': 'https://myanimelist.net/anime/1142/Hachimitsu_to_Clover_II', 'title': 'Hachimitsu to Clover II'}]}","Genco, Fuji TV, Shueisha",Viz Media,J.C.Staff,"Comedy, Drama, Josei, Romance, Slice of Life",23,2005
17,Hungry Heart: Wild Striker,,,TV,Manga,52,Finished Airing,"Sep 11, 2002 to Sep 10, 2003","{'from': '2002-09-11', 'to': '2003-09-10'}",23 min. per ep.,PG-13 - Teens 13 or older,7.69,8885,1130,2967,16161,204,Fall 2002,Wednesdays at Unknown,"{'Adaptation': [{'mal_id': 4147, 'type': 'manga', 'url': 'https://myanimelist.net/manga/4147/Hungry_Heart', 'title': 'Hungry Heart'}]}",,,Nippon Animation,"Slice of Life, Comedy, Sports, Shounen",23,2002
18,Initial D Fourth Stage,,Initial D 4th Stage,TV,Manga,24,Finished Airing,"Apr 17, 2004 to Feb 18, 2006","{'from': '2004-04-17', 'to': '2006-02-18'}",27 min. per ep.,PG-13 - Teens 13 or older,8.24,37675,276,1261,64574,588,Spring 2004,Unknown,"{'Adaptation': [{'mal_id': 375, 'type': 'manga', 'url': 'https://myanimelist.net/manga/375/Initial_D', 'title': 'Initial D'}], 'Prequel': [{'mal_id': 187, 'type': 'anime', 'url': 'https://myanimelist.net/anime/187/Initial_D_Third_Stage', 'title': 'Initial D Third Stage'}], 'Summary': [{'mal_id': 3931, 'type': 'anime', 'url': 'https://myanimelist.net/anime/3931/Initial_D_Battle_Stage_2', 'title': 'Initial D Battle Stage 2'}], 'Side story': [{'mal_id': 5228, 'type': 'anime', 'url': 'https://myanimelist.net/anime/5228/Initial_D_Extra_Stage_2', 'title': 'Initial D Extra Stage 2'}], 'Sequel': [{'mal_id': 15059, 'type': 'anime', 'url': 'https://myanimelist.net/anime/15059/Initial_D_Fifth_Stage', 'title': 'Initial D Fifth Stage'}]}","OB Planning, Studio Jack",Funimation,A.C.G.T.,"Action, Cars, Sports, Drama, Seinen",27,2004
20,Naruto,Naruto,NARUTO,TV,Manga,220,Finished Airing,"Oct 3, 2002 to Feb 8, 2007","{'from': '2002-10-03', 'to': '2007-02-08'}",23 min. per ep.,PG-13 - Teens 13 or older,7.88,648605,745,10,980265,34468,Fall 2002,Thursdays at 19:30 (JST),"{'Adaptation': [{'mal_id': 11, 'type': 'manga', 'url': 'https://myanimelist.net/manga/11/Naruto', 'title': 'Naruto'}], 'Side story': [{'mal_id': 442, 'type': 'anime', 'url': 'https://myanimelist.net/anime/442/Naruto_Movie_1__Dai_Katsugeki_Yuki_Hime_Shinobu_Houjou_Dattebayo', 'title': 'Naruto Movie 1: Dai Katsugeki!! Yuki Hime Shinobu Houjou Dattebayo!'}, {'mal_id': 594, 'type': 'anime', 'url': 'https://myanimelist.net/anime/594/Naruto__Takigakure_no_Shitou_-_Ore_ga_Eiyuu_Dattebayo', 'title': 'Naruto: Takigakure no Shitou - Ore ga Eiyuu Dattebayo!'}, {'mal_id': 761, 'type': 'anime', 'url': 'https://myanimelist.net/anime/761/Naruto__Akaki_Yotsuba_no_Clover_wo_Sagase', 'title': 'Naruto: Akaki Yotsuba no Clover wo Sagase'}, {'mal_id': 936, 'type': 'anime', 'url': 'https://myanimelist.net/anime/936/Naruto_Movie_2__Dai_Gekitotsu_Maboroshi_no_Chiteiiseki_Dattebayo', 'title': 'Naruto Movie 2: Dai Gekitotsu! Maboroshi no Chiteiiseki Dattebayo!'}, {'mal_id': 1074, 'type': 'anime', 'url': 'https://myanimelist.net/anime/1074/Naruto_Narutimate_Hero_3__Tsuini_Gekitotsu_Jounin_vs_Genin_Musabetsu_Dairansen_taikai_Kaisai', 'title': 'Naruto Narutimate Hero 3: Tsuini Gekitotsu! Jounin vs. Genin!! Musabetsu Dairansen taikai Kaisai!!'}, {'mal_id': 2144, 'type': 'anime', 'url': 'https://myanimelist.net/anime/2144/Naruto_Movie_3__Dai_Koufun_Mikazuki_Jima_no_Animaru_Panikku_Dattebayo', 'title': 'Naruto Movie 3: Dai Koufun! Mikazuki Jima no Animaru Panikku Dattebayo!'}, {'mal_id': 7367, 'type': 'anime', 'url': 'https://myanimelist.net/anime/7367/Naruto__The_Cross_Roads', 'title': 'Naruto: The Cross Roads'}], 'Sequel': [{'mal_id': 1735, 'type': 'anime', 'url': 'https://myanimelist.net/anime/1735/Naruto__Shippuuden', 'title': 'Naruto: Shippuuden'}]}","TV Tokyo, Aniplex, Shueisha",Viz Media,Studio Pierrot,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen",23,2002
21,One Piece,One Piece,OP,TV,Manga,0,Currently Airing,"Oct 20, 1999 to ?","{'from': '1999-10-20', 'to': None}",24 min.,PG-13 - Teens 13 or older,8.54,423868,91,35,720133,69760,Fall 1999,Sundays at 09:30 (JST),"{'Adaptation': [{'mal_id': 13, 'type': 'manga', 'url': 'https://myanimelist.net/manga/13/One_Piece', 'title': 'One Piece'}, {'mal_id': 94534, 'type': 'manga', 'url': 'https://myanimelist.net/manga/94534/One_Piece__Loguetown-hen', 'title': 'One Piece: Loguetown-hen'}], 'Side story': [{'mal_id': 459, 'type': 'anime', 'url': 'https://myanimelist.net/anime/459/One_Piece_Movie_1', 'title': 'One Piece Movie 1'}, {'mal_id': 460, 'type': 'anime', 'url': 'https://myanimelist.net/anime/460/One_Piece_Movie_2__Nejimaki-jima_no_Daibouken', 'title': 'One Piece Movie 2: Nejimaki-jima no Daibouken'}, {'mal_id': 461, 'type': 'anime', 'url': 'https://myanimelist.net/anime/461/One_Piece_Movie_3__Chinjuu-jima_no_Chopper_Oukoku', 'title': 'One Piece Movie 3: Chinjuu-jima no Chopper Oukoku'}, {'mal_id': 462, 'type': 'anime', 'url': 'https://myanimelist.net/anime/462/One_Piece_Movie_4__Dead_End_no_Bouken', 'title': 'One Piece Movie 4: Dead End no Bouken'}, {'mal_id': 463, 'type': 'anime', 'url': 'https://myanimelist.net/anime/463/One_Piece_Movie_5__Norowareta_Seiken', 'title': 'One Piece Movie 5: Norowareta Seiken'}, {'mal_id': 464, 'type': 'anime', 'url': 'https://myanimelist.net/anime/464/One_Piece_Movie_6__Omatsuri_Danshaku_to_Himitsu_no_Shima', 'title': 'One Piece Movie 6: Omatsuri Danshaku to Himitsu no Shima'}, {'mal_id': 465, 'type': 'anime', 'url': 'https://myanimelist.net/anime/465/One_Piece_Movie_7__Karakuri-jou_no_Mecha_Kyohei', 'title': 'One Piece Movie 7: Karakuri-jou no Mecha Kyohei'}, {'mal_id': 466, 'type': 'anime', 'url': 'https://myanimelist.net/anime/466/One_Piece__Taose_Kaizoku_Ganzack', 'title': 'One Piece: Taose! Kaizoku Ganzack'}, {'mal_id': 1094, 'type': 'anime', 'url': 'https://myanimelist.net/anime/1094/One_Piece__Umi_no_Heso_no_Daibouken-hen', 'title': 'One Piece: Umi no Heso no Daibouken-hen'}, {'mal_id': 1237, 'type': 'anime', 'url': 'https://myanimelist.net/anime/1237/One_Piece__Oounabara_ni_Hirake_Dekkai_Dekkai_Chichi_no_Yume', 'title': 'One Piece: Oounabara ni Hirake! Dekkai Dekkai Chichi no Yume!'}, {'mal_id': 1238, 'type': 'anime', 'url': 'https://myanimelist.net/anime/1238/One_Piece__Mamore_Saigo_no_Dai_Butai', 'title': 'One Piece: Mamore! Saigo no Dai Butai'}, {'mal_id': 2020, 'type': 'anime', 'url': 'https://myanimelist.net/anime/2020/One_Piece__Nenmatsu_Tokubetsu_Kikaku_Mugiwara_no_Luffy_Oyabun_Torimonochou', 'title': 'One Piece: Nenmatsu Tokubetsu Kikaku! Mugiwara no Luffy Oyabun Torimonochou'}, {'mal_id': 2385, 'type': 'anime', 'url': 'https://myanimelist.net/anime/2385/One_Piece__Jango_no_Dance_Carnival', 'title': 'One Piece: Jango no Dance Carnival'}, {'mal_id': 2386, 'type': 'anime', 'url': 'https://myanimelist.net/anime/2386/One_Piece__Yume_no_Soccer_Ou', 'title': 'One Piece: Yume no Soccer Ou!'}, {'mal_id': 2490, 'type': 'anime', 'url': 'https://myanimelist.net/anime/2490/One_Piece__Mezase_Kaizoku_Yakyuu_Ou', 'title': 'One Piece: Mezase! Kaizoku Yakyuu Ou'}, {'mal_id': 2680, 'type': 'anime', 'url': 'https://myanimelist.net/anime/2680/One_Piece__Straw_Hat_Theater', 'title': 'One Piece: Straw Hat Theater'}, {'mal_id': 4155, 'type': 'anime', 'url': 'https://myanimelist.net/anime/4155/One_Piece_Film__Strong_World', 'title': 'One Piece Film: Strong World'}, {'mal_id': 5252, 'type': 'anime', 'url': 'https://myanimelist.net/anime/5252/One_Piece__Romance_Dawn_Story', 'title': 'One Piece: Romance Dawn Story'}, {'mal_id': 8740, 'type': 'anime', 'url': 'https://myanimelist.net/anime/8740/One_Piece_Film__Strong_World_Episode_0', 'title': 'One Piece Film: Strong World Episode 0'}, {'mal_id': 9999, 'type': 'anime', 'url': 'https://myanimelist.net/anime/9999/One_Piece_3D__Mugiwara_Chase', 'title': 'One Piece 3D: Mugiwara Chase'}, {'mal_id': 12001, 'type': 'anime', 'url': 'https://myanimelist.net/anime/12001/One_Piece_3D__Gekisou_Trap_Coaster', 'title': 'One Piece 3D: Gekisou! Trap Coaster'}, {'mal_id': 12859, 'type': 'anime', 'url': 'https://myanimelist.net/anime/12859/One_Piece_Film__Z', 'title': 'One Piece Film: Z'}, {'mal_id': 16239, 'type': 'anime', 'url': 'https://myanimelist.net/anime/16239/One_Piece__Episode_of_Luffy_-_Hand_Island_no_Bouken', 'title': 'One Piece: Episode of Luffy - Hand Island no Bouken'}, {'mal_id': 16287, 'type': 'anime', 'url': 'https://myanimelist.net/anime/16287/One_Piece__Romance_Dawn', 'title': 'One Piece: Romance Dawn'}, {'mal_id': 16468, 'type': 'anime', 'url': 'https://myanimelist.net/anime/16468/One_Piece__Glorious_Island', 'title': 'One Piece: Glorious Island'}, {'mal_id': 25161, 'type': 'anime', 'url': 'https://myanimelist.net/anime/25161/One_Piece_3D2Y__Ace_no_shi_wo_Koete_Luffy_Nakama_Tono_Chikai', 'title': 'One Piece 3D2Y: Ace no shi wo Koete! Luffy Nakama Tono Chikai'}, {'mal_id': 31490, 'type': 'anime', 'url': 'https://myanimelist.net/anime/31490/One_Piece_Film__Gold', 'title': 'One Piece Film: Gold'}, {'mal_id': 32051, 'type': 'anime', 'url': 'https://myanimelist.net/anime/32051/One_Piece__Adventure_of_Nebulandia', 'title': 'One Piece: Adventure of Nebulandia'}], 'Character': [{'mal_id': 813, 'type': 'anime', 'url': 'https://myanimelist.net/anime/813/Dragon_Ball_Z', 'title': 'Dragon Ball Z'}, {'mal_id': 10033, 'type': 'anime', 'url': 'https://myanimelist.net/anime/10033/Toriko', 'title': 'Toriko'}, {'mal_id': 23933, 'type': 'anime', 'url': 'https://myanimelist.net/anime/23933/Kyutai_Panic_Adventure', 'title': 'Kyutai Panic Adventure!'}, {'mal_id': 23935, 'type': 'anime', 'url': 'https://myanimelist.net/anime/23935/Kyutai_Panic_Adventure_Returns', 'title': 'Kyutai Panic Adventure Returns!'}], 'Summary': [{'mal_id': 2107, 'type': 'anime', 'url': 'https://myanimelist.net/anime/2107/One_Piece_Movie_8__Episode_of_Alabasta_-_Sabaku_no_Oujo_to_Kaizoku-tachi', 'title': 'One Piece Movie 8: Episode of Alabasta - Sabaku no Oujo to Kaizoku-tachi'}, {'mal_id': 8171, 'type': 'anime', 'url': 'https://myanimelist.net/anime/8171/One_Piece_Recap', 'title': 'One Piece Recap'}, {'mal_id': 15323, 'type': 'anime', 'url': 'https://myanimelist.net/anime/15323/One_Piece__Episode_of_Nami_-_Koukaishi_no_Namida_to_Nakama_no_Kizuna', 'title': 'One Piece: Episode of Nami - Koukaishi no Namida to Nakama no Kizuna'}, {'mal_id': 19123, 'type': 'anime', 'url': 'https://myanimelist.net/anime/19123/One_Piece__Episode_of_Merry_-_Mou_Hitori_no_Nakama_no_Monogatari', 'title': 'One Piece: Episode of Merry - Mou Hitori no Nakama no Monogatari'}, {'mal_id': 31289, 'type': 'anime', 'url': 'https://myanimelist.net/anime/31289/One_Piece__Episode_of_Sabo_-_3_Kyoudai_no_Kizuna_Kiseki_no_Saikai_to_Uketsugareru_Ishi', 'title': 'One Piece: Episode of Sabo - 3 Kyoudai no Kizuna Kiseki no Saikai to Uketsugareru Ishi'}, {'mal_id': 32437, 'type': 'anime', 'url': 'https://myanimelist.net/anime/32437/One_Piece__Long_Ring_Long_Land-hen', 'title': 'One Piece: Long Ring Long Land-hen'}, {'mal_id': 36215, 'type': 'anime', 'url': 'https://myanimelist.net/anime/36215/One_Piece__Episode_of_East_Blue_-_Luffy_to_4-nin_no_Nakama_no_Daibouken', 'title': 'One Piece: Episode of East Blue - Luffy to 4-nin no Nakama no Daibouken'}], 'Alternative version': [{'mal_id': 3848, 'type': 'anime', 'url': 'https://myanimelist.net/anime/3848/One_Piece_Movie_9__Episode_of_Chopper_Plus_-_Fuyu_ni_Saku_Kiseki_no_Sakura', 'title': 'One Piece Movie 9: Episode of Chopper Plus - Fuyu ni Saku, Kiseki no Sakura'}], 'Other': [{'mal_id': 34165, 'type': 'anime', 'url': 'https://myanimelist.net/anime/34165/Oishi-sa_Hajikeru_One_Piece', 'title': 'Oishi-sa Hajikeru! One Piece'}, {'mal_id': 36239, 'type': 'anime', 'url': 'https://myanimelist.net/anime/36239/Sono_Me_ga_Mitsumeru_Mono', 'title': 'Sono Me ga Mitsumeru Mono'}]}","Fuji TV, TAP, Shueisha","Funimation, 4Kids Entertainment",Toei Animation,"Action, Adventure, Comedy, Super Power, Drama, Fantasy, Shounen",24,1999
22,Tennis no Ouji-sama,The Prince of Tennis,,TV,Manga,178,Finished Airing,"Oct 10, 2001 to Mar 23, 2005","{'from': '2001-10-10', 'to': '2005-03-23'}",22 min. per ep.,PG-13 - Teens 13 or older,8.01,48149,550,806,107492,2833,Fall 2001,Unknown,"{'Adaptation': [{'mal_id': 49, 'type': 'manga', 'url': 'https://myanimelist.net/manga/49/Tennis_no_Ouji-sama', 'title': 'Tennis no Ouji-sama'}], 'Side story': [{'mal_id': 814, 'type': 'anime', 'url': 'https://myanimelist.net/anime/814/Tennis_no_Ouji-sama__Atobe_kara_no_Okurimono_-_Kimi_ni_Sasageru_Tennis_Prince_Matsuri', 'title': 'Tennis no Ouji-sama: Atobe kara no Okurimono - Kimi ni Sasageru Tennis Prince Matsuri'}, {'mal_id': 815, 'type': 'anime', 'url': 'https://myanimelist.net/anime/815/Tennis_no_Ouji-sama_Movie_1__Futari_no_Samurai_-_The_First_Game', 'title': 'Tennis no Ouji-sama Movie 1: Futari no Samurai - The First Game'}, {'mal_id': 1190, 'type': 'anime', 'url': 'https://myanimelist.net/anime/1190/Tennis_no_Ouji-sama__Sonzoku_Yama_no_Hi', 'title': 'Tennis no Ouji-sama: Sonzoku Yama no Hi'}, {'mal_id': 5996, 'type': 'anime', 'url': 'https://myanimelist.net/anime/5996/Tennis_no_Ouji-sama__Oshougatsu_Special', 'title': 'Tennis no Ouji-sama: Oshougatsu Special'}, {'mal_id': 10731, 'type': 'anime', 'url': 'https://myanimelist.net/anime/10731/Tennis_no_Ouji-sama_Movie_2__Eikokushiki_Teikyuu_Shiro_Kessen', 'title': 'Tennis no Ouji-sama Movie 2: Eikokushiki Teikyuu Shiro Kessen!'}, {'mal_id': 10862, 'type': 'anime', 'url': 'https://myanimelist.net/anime/10862/Tennis_no_Ouji-sama__Pair_Prince', 'title': 'Tennis no Ouji-sama: Pair Prince'}, {'mal_id': 29697, 'type': 'anime', 'url': 'https://myanimelist.net/anime/29697/Tennis_no_Ouji-sama__Message_in_a_Bottle', 'title': 'Tennis no Ouji-sama: Message in a Bottle'}], 'Sequel': [{'mal_id': 995, 'type': 'anime', 'url': 'https://myanimelist.net/anime/995/Tennis_no_Ouji-sama__Zenkoku_Taikai-hen', 'title': 'Tennis no Ouji-sama: Zenkoku Taikai-hen'}], 'Other': [{'mal_id': 6749, 'type': 'anime', 'url': 'https://myanimelist.net/anime/6749/Tennis_no_Ouji-sama__The_Band_of_Princes_Film_Kick_the_Future', 'title': 'Tennis no Ouji-sama: The Band of Princes Film Kick the Future'}, {'mal_id': 10276, 'type': 'anime', 'url': 'https://myanimelist.net/anime/10276/Tennis_no_Ouji-sama__Mini_Theater', 'title': 'Tennis no Ouji-sama: Mini Theater'}], 'Alternative version': [{'mal_id': 36952, 'type': 'anime', 'url': 'https://myanimelist.net/anime/36952/Tennis_no_Ouji-sama__Best_Games', 'title': 'Tennis no Ouji-sama: Best Games!!'}]}","Production I.G, Nihon Ad Systems",Viz Media,Trans Arts,"Action, Comedy, Sports, School, Shounen",22,2001
23,Ring ni Kakero 1,,Put it all in the Ring,TV,Manga,12,Finished Airing,"Oct 6, 2004 to Dec 15, 2004","{'from': '2004-10-06', 'to': '2004-12-15'}",25 min. per ep.,PG - Children,6.59,763,5263,6186,2731,15,Fall 2004,Unknown,"{'Adaptation': [{'mal_id': 14231, 'type': 'manga', 'url': 'https://myanimelist.net/manga/14231/Ring_ni_Kakero', 'title': 'Ring ni Kakero'}], 'Sequel': [{'mal_id': 1771, 'type': 'anime', 'url': 'https://myanimelist.net/anime/1771/Ring_ni_Kakero_1__Nichibei_Kessen-hen', 'title': 'Ring ni Kakero 1: Nichibei Kessen-hen'}], 'Other': [{'mal_id': 34307, 'type': 'anime', 'url': 'https://myanimelist.net/anime/34307/Ring_ni_Kakero_1_Pilot', 'title': 'Ring ni Kakero 1 Pilot'}]}",,,Toei Animation,"Action, Shounen, Sports",25,2004
24,School Rumble,School Rumble,,TV,Manga,26,Finished Airing,"Oct 5, 2004 to Mar 29, 2005","{'from': '2004-10-05', 'to': '2005-03-29'}",23 min. per ep.,PG-13 - Teens 13 or older,8.02,101593,537,347,214621,4522,Fall 2004,Tuesdays at 18:00 (JST),"{'Adaptation': [{'mal_id': 160, 'type': 'manga', 'url': 'https://myanimelist.net/manga/160/School_Rumble', 'title': 'School Rumble'}], 'Side story': [{'mal_id': 517, 'type': 'anime', 'url': 'https://myanimelist.net/anime/517/School_Rumble_Ichi_Gakki_Hoshuu', 'title': 'School Rumble Ichi Gakki Hoshuu'}], 'Sequel': [{'mal_id': 846, 'type': 'anime', 'url': 'https://myanimelist.net/anime/846/School_Rumble_Ni_Gakki', 'title': 'School Rumble Ni Gakki'}]}","TV Tokyo, Sotsu, Marvelous, Starchild Records, Media Factory, DAX Production, Studio Jack",Funimation,Studio Comet,"Comedy, Romance, School, Shounen",23,2004
25,Sunabouzu,Desert Punk,Sunabozu,TV,Manga,24,Finished Airing,"Oct 6, 2004 to Mar 30, 2005","{'from': '2004-10-06', 'to': '2005-03-30'}",24 min. per ep.,R - 17+ (violence & profanity),7.52,34377,1586,1008,83603,638,Fall 2004,Unknown,"{'Adaptation': [{'mal_id': 10016, 'type': 'manga', 'url': 'https://myanimelist.net/manga/10016/Sunabouzu', 'title': 'Sunabouzu'}]}","GDH, Pony Canyon, CBC",Funimation,Gonzo,"Action, Adventure, Comedy, Ecchi, Sci-Fi, Shounen",24,2004
27,Trinity Blood,Trinity Blood,,TV,Light novel,24,Finished Airing,"Apr 29, 2005 to Oct 28, 2005","{'from': '2005-04-29', 'to': '2005-10-28'}",24 min. per ep.,R - 17+ (violence & profanity),7.41,59596,1998,638,131899,1378,Spring 2005,Unknown,"{'Adaptation': [{'mal_id': 557, 'type': 'manga', 'url': 'https://myanimelist.net/manga/557/Trinity_Blood__Rage_Against_the_Moons', 'title': 'Trinity Blood: Rage Against the Moons'}, {'mal_id': 114227, 'type': 'manga', 'url': 'https://myanimelist.net/manga/114227/Trinity_Blood__Reborn_on_the_Mars', 'title': 'Trinity Blood: Reborn on the Mars'}]}",,Funimation,Gonzo,"Action, Supernatural, Vampire",24,2005
28,Yakitate!! Japan,Yakitate!! Japan,Freshly Baked!! Ja-pan!,TV,Manga,69,Finished Airing,"Oct 12, 2004 to Mar 14, 2006","{'from': '2004-10-12', 'to': '2006-03-14'}",24 min. per ep.,PG-13 - Teens 13 or older,8.02,26532,540,1301,62326,748,Fall 2004,Unknown,"{'Adaptation': [{'mal_id': 653, 'type': 'manga', 'url': 'https://myanimelist.net/manga/653/Yakitate_Japan', 'title': 'Yakitate!! Japan'}]}","TV Tokyo, Aniplex, d-rights, Tohokushinsha Film Corporation, Atelier Musa",Nozomi Entertainment,Sunrise,"Comedy, Shounen",24,2004
29,Zipang,,,TV,Manga,26,Finished Airing,"Oct 8, 2004 to Apr 1, 2005","{'from': '2004-10-08', 'to': '2005-04-01'}",24 min. per ep.,PG-13 - Teens 13 or older,7.54,4155,1546,3432,11799,108,Fall 2004,Unknown,"{'Adaptation': [{'mal_id': 191, 'type': 'manga', 'url': 'https://myanimelist.net/manga/191/Zipang', 'title': 'Zipang'}]}","Marvelous, TBS",Geneon Entertainment USA,Studio Deen,"Action, Military, Sci-Fi, Historical, Drama, Seinen",24,2004
