anime_id,title,title_english,title_synonyms,type,source,episodes,status,aired_string,aired,duration,rating,score,scored_by,rank,popularity,members,favorites,premiered,broadcast,related,producer,licensor,studio,genre,duration_min,aired_from_year
14123,Pokemon Black and White 2: Introduction Movie,,"Pokémon Black and White 2: Introduction Movie, Pocket Monsters Black and White 2: Introduction Movie",ONA,Game,1,Finished Airing,16-May-12,"{'from': '2012-05-16', 'to': '2012-05-16'}",6 min.,PG - Children,7.61,5888,1337,3594,10560,16,,,"{'Alternative setting': [{'mal_id': 9107, 'type': 'anime', 'url': 'https://myanimelist.net/anime/9107/Pokemon_Best_Wishes', 'title': 'Pokemon Best Wishes!'}]}",,,OLM,"Action, Fantasy, Kids",6,2012
14131,Girls & Panzer,Girls & Panzer,"Garupan, Girls und Panzer",TV,Original,12,Finished Airing,"Oct 9, 2012 to Mar 25, 2013","{'from': '2012-10-09', 'to': '2013-03-25'}",24 min. per ep.,PG-13 - Teens 13 or older,7.65,72416,1217,559,147291,2638,Fall 2012,Tuesdays at 01:00 (JST),"{'Adaptation': [{'mal_id': 42223, 'type': 'manga', 'url': 'https://myanimelist.net/manga/42223/Girls___Panzer', 'title': 'Girls & Panzer'}, {'mal_id': 75945, 'type': 'manga', 'url': 'https://myanimelist.net/manga/75945/Girls___Panzer', 'title': 'Girls & Panzer'}], 'Side story': [{'mal_id': 15811, 'type': 'anime', 'url': 'https://myanimelist.net/anime/15811/Girls___Panzer_Specials', 'title': 'Girls & Panzer Specials'}, {'mal_id': 18619, 'type': 'anime', 'url': 'https://myanimelist.net/anime/18619/Girls___Panzer__Kore_ga_Hontou_no_Anzio-sen_desu', 'title': 'Girls & Panzer: Kore ga Hontou no Anzio-sen desu!'}], 'Summary': [{'mal_id': 16199, 'type': 'anime', 'url': 'https://myanimelist.net/anime/16199/Girls___Panzer__Shoukai_Shimasu', 'title': 'Girls & Panzer: Shoukai Shimasu!'}, {'mal_id': 33720, 'type': 'anime', 'url': 'https://myanimelist.net/anime/33720/Girls___Panzer_Movie__3-pun_Chotto_de_Wakaru_Girls___Panzer', 'title': 'Girls & Panzer Movie: 3-pun Chotto de Wakaru!! Girls & Panzer'}, {'mal_id': 36783, 'type': 'anime', 'url': 'https://myanimelist.net/anime/36783/Girls___Panzer__Dai_63-kai_Senshadou_Zenkoku_Koukousei_Taikai_Soushuuhen', 'title': 'Girls & Panzer: Dai 63-kai Senshadou Zenkoku Koukousei Taikai Soushuuhen'}], 'Other': [{'mal_id': 18343, 'type': 'anime', 'url': 'https://myanimelist.net/anime/18343/Girls___Panzer__Fushou_Akiyama_Yukari_no_Sensha_Kouza', 'title': 'Girls & Panzer: Fushou Akiyama Yukari no Sensha Kouza'}, {'mal_id': 23137, 'type': 'anime', 'url': 'https://myanimelist.net/anime/23137/Girls___Panzer_Heartful_Tank_Disc_Picture_Drama', 'title': 'Girls & Panzer Heartful Tank Disc Picture Drama'}, {'mal_id': 32511, 'type': 'anime', 'url': 'https://myanimelist.net/anime/32511/Girls___Panzer__Nihon_Senshadou_Renmei_News', 'title': 'Girls & Panzer: Nihon Senshadou Renmei News'}], 'Sequel': [{'mal_id': 18617, 'type': 'anime', 'url': 'https://myanimelist.net/anime/18617/Girls___Panzer_Movie', 'title': 'Girls & Panzer Movie'}]}","Lantis, Movic, Showgate, Cyclone Graphics inc",Sentai Filmworks,Actas,"Action, Sports, Military, School",24,2012
14145,"Hanayaka Nari, Waga Ichizoku: Kinetograph",,,OVA,Visual novel,2,Finished Airing,"Dec 2, 2012 to Mar 14, 2013","{'from': '2012-12-02', 'to': '2013-03-14'}",51 min. per ep.,PG-13 - Teens 13 or older,6.59,4350,5251,3643,10255,36,,,[],Lantis,,"Anpro, teamKG","Historical, Drama, Josei",51,2012
14175,Hanasaku Iroha: Home Sweet Home,Hanasaku Iroha the Movie: Home Sweet Home,,Movie,Original,1,Finished Airing,9-Mar-13,"{'from': '2013-03-09', 'to': '2013-03-09'}",1 hr. 6 min.,PG-13 - Teens 13 or older,7.96,20620,597,1557,48569,49,,,"{'Parent story': [{'mal_id': 9289, 'type': 'anime', 'url': 'https://myanimelist.net/anime/9289/Hanasaku_Iroha', 'title': 'Hanasaku Iroha'}]}","Sotsu, Lantis, Infinite","NIS America, Inc.",P.A. Works,"Slice of Life, Comedy, Drama",66,2013
14181,Oedo wa Nemurenai!,,Sleepless Oedo,OVA,Manga,1,Finished Airing,23-Jul-93,"{'from': '1993-07-23', 'to': '1993-07-23'}",30 min.,PG-13 - Teens 13 or older,5.74,46,11568,10712,261,0,,,"{'Adaptation': [{'mal_id': 4212, 'type': 'manga', 'url': 'https://myanimelist.net/manga/4212/Oedo_wa_Nemurenai', 'title': 'Oedo wa Nemurenai!'}]}",Shueisha,,Madhouse,"Fantasy, Historical, Drama, Shoujo",30,1993
14183,Aitsu to Lullaby: Suiyobi no Cinderella,,Lullaby for Wednesday&#039;s Cinderella,Movie,Manga,1,Finished Airing,1-Aug-87,"{'from': '1987-08-01', 'to': '1987-08-01'}",50 min.,PG-13 - Teens 13 or older,5.86,63,7661,10431,303,0,,,"{'Adaptation': [{'mal_id': 28955, 'type': 'manga', 'url': 'https://myanimelist.net/manga/28955/Aitsu_to_Lullaby', 'title': 'Aitsu to Lullaby'}]}",,,Studio Pierrot,"Romance, Drama, Shounen",50,1987
14189,Tasogare Otome x Amnesia: Taima Otome,Dusk Maiden of Amnesia: Ghost Girl,"Dusk Maiden of Amnesia: Exorcism Maiden, Tasogare Otome x Amnesia Special",Special,Manga,1,Finished Airing,28-Nov-12,"{'from': '2012-11-28', 'to': '2012-11-28'}",24 min.,R - 17+ (violence & profanity),7.56,27955,1475,1566,48271,64,,,"{'Prequel': [{'mal_id': 12445, 'type': 'anime', 'url': 'https://myanimelist.net/anime/12445/Tasogare_Otome_x_Amnesia', 'title': 'Tasogare Otome x Amnesia'}]}",,Sentai Filmworks,Silver Link.,"Horror, Mystery, Romance, School, Shounen, Supernatural",24,2012
14227,Tonari no Kaibutsu-kun,My Little Monster,"Tonari no Kaibutsukun, The Monster Next Door, My Neighbor Monster-kun",TV,Manga,13,Finished Airing,"Oct 2, 2012 to Dec 25, 2012","{'from': '2012-10-02', 'to': '2012-12-25'}",24 min. per ep.,PG-13 - Teens 13 or older,7.71,281448,1093,88,482105,4064,Fall 2012,Tuesdays at Unknown,"{'Adaptation': [{'mal_id': 13702, 'type': 'manga', 'url': 'https://myanimelist.net/manga/13702/Tonari_no_Kaibutsu-kun', 'title': 'Tonari no Kaibutsu-kun'}], 'Alternative setting': [{'mal_id': 16866, 'type': 'anime', 'url': 'https://myanimelist.net/anime/16866/Tonari_no_Kaibutsu-kun__Tonari_no_Gokudou-kun', 'title': 'Tonari no Kaibutsu-kun: Tonari no Gokudou-kun'}]}","TV Tokyo, Aniplex, Nihon Ad Systems, Kodansha","NIS America, Inc.",Brain&#039;s Base,"Slice of Life, Comedy, Romance, School, Shoujo",24,2012
14231,Akuemon,,,OVA,Manga,1,Finished Airing,16-Jul-93,"{'from': '1993-07-16', 'to': '1993-07-16'}",25 min.,PG-13 - Teens 13 or older,6.21,334,6721,8971,686,1,,,"{'Adaptation': [{'mal_id': 27743, 'type': 'manga', 'url': 'https://myanimelist.net/manga/27743/Lion_Books', 'title': 'Lion Books'}], 'Other': [{'mal_id': 6462, 'type': 'anime', 'url': 'https://myanimelist.net/anime/6462/Amefuri_Kozou', 'title': 'Amefuri Kozou'}, {'mal_id': 8181, 'type': 'anime', 'url': 'https://myanimelist.net/anime/8181/Adachi-ga_Hara', 'title': 'Adachi-ga Hara'}, {'mal_id': 11537, 'type': 'anime', 'url': 'https://myanimelist.net/anime/11537/Yamatarou_Kaeru', 'title': 'Yamatarou Kaeru'}, {'mal_id': 11799, 'type': 'anime', 'url': 'https://myanimelist.net/anime/11799/Midori_no_Neko', 'title': 'Midori no Neko'}, {'mal_id': 14247, 'type': 'anime', 'url': 'https://myanimelist.net/anime/14247/Lunn_wa_Kaze_no_Naka', 'title': 'Lunn wa Kaze no Naka'}]}",,,Tezuka Productions,"Fantasy, Romance",25,1993
14237,Busou Shinki,Busou Shinki: Armored War Goddess,,TV,Other,12,Finished Airing,"Oct 5, 2012 to Dec 21, 2012","{'from': '2012-10-05', 'to': '2012-12-21'}",24 min. per ep.,PG-13 - Teens 13 or older,6.37,9945,6106,2171,28632,40,Fall 2012,Fridays at 01:55 (JST),"{'Adaptation': [{'mal_id': 72135, 'type': 'manga', 'url': 'https://myanimelist.net/manga/72135/Busou_Shinki', 'title': 'Busou Shinki'}], 'Other': [{'mal_id': 11103, 'type': 'anime', 'url': 'https://myanimelist.net/anime/11103/Busou_Shinki_Moon_Angel', 'title': 'Busou Shinki Moon Angel'}], 'Sequel': [{'mal_id': 16614, 'type': 'anime', 'url': 'https://myanimelist.net/anime/16614/Busou_Shinki_OVA', 'title': 'Busou Shinki OVA'}]}",,Sentai Filmworks,8bit,"Action, Sci-Fi, Slice of Life, Mecha",24,2012
